date,region,mean,median,lower_90,upper_90
2020-03-09,Івано-Франківська,1.5,1.48,1.27,1.66
2020-03-10,Івано-Франківська,1.48,1.46,1.3,1.67
2020-03-11,Івано-Франківська,1.46,1.45,1.27,1.64
2020-03-12,Івано-Франківська,1.45,1.44,1.28,1.61
2020-03-13,Івано-Франківська,1.43,1.42,1.26,1.58
2020-03-14,Івано-Франківська,1.4,1.39,1.22,1.53
2020-03-15,Івано-Франківська,1.37,1.37,1.22,1.51
2020-03-16,Івано-Франківська,1.35,1.34,1.22,1.49
2020-03-17,Івано-Франківська,1.32,1.32,1.2,1.45
2020-03-18,Івано-Франківська,1.29,1.28,1.17,1.4
2020-03-19,Івано-Франківська,1.26,1.25,1.12,1.35
2020-03-20,Івано-Франківська,1.22,1.22,1.1,1.32
2020-03-21,Івано-Франківська,1.19,1.18,1.1,1.3
2020-03-22,Івано-Франківська,1.15,1.15,1.06,1.26
2020-03-23,Івано-Франківська,1.11,1.11,1.02,1.21
2020-03-24,Івано-Франківська,1.08,1.08,1,1.18
2020-03-25,Івано-Франківська,1.05,1.04,0.96,1.14
2020-03-26,Івано-Франківська,1.02,1.01,0.91,1.09
2020-03-27,Івано-Франківська,0.98,0.98,0.89,1.06
2020-03-28,Івано-Франківська,0.96,0.96,0.86,1.02
2020-03-29,Івано-Франківська,0.93,0.93,0.85,1
2020-03-30,Івано-Франківська,0.9,0.9,0.83,0.97
2020-03-31,Івано-Франківська,0.88,0.88,0.81,0.95
2020-04-01,Івано-Франківська,0.86,0.86,0.79,0.93
2020-04-02,Івано-Франківська,0.84,0.84,0.75,0.9
2020-04-03,Івано-Франківська,0.82,0.82,0.76,0.9
2020-04-04,Івано-Франківська,0.81,0.81,0.74,0.87
2020-04-05,Івано-Франківська,0.79,0.79,0.72,0.85
2020-04-06,Івано-Франківська,0.78,0.78,0.72,0.84
2020-04-07,Івано-Франківська,0.77,0.77,0.71,0.83
2020-04-08,Івано-Франківська,0.76,0.76,0.7,0.83
2020-04-09,Івано-Франківська,0.76,0.75,0.7,0.82
2020-04-10,Івано-Франківська,0.75,0.75,0.69,0.81
2020-04-11,Івано-Франківська,0.75,0.75,0.68,0.8
2020-04-12,Івано-Франківська,0.74,0.75,0.68,0.8
2020-04-13,Івано-Франківська,0.74,0.74,0.68,0.8
2020-04-14,Івано-Франківська,0.74,0.74,0.68,0.8
2020-04-15,Івано-Франківська,0.74,0.74,0.68,0.8
2020-04-16,Івано-Франківська,0.75,0.75,0.68,0.81
2020-04-17,Івано-Франківська,0.75,0.75,0.69,0.82
2020-04-18,Івано-Франківська,0.76,0.76,0.69,0.82
2020-04-19,Івано-Франківська,0.77,0.76,0.7,0.82
2020-04-20,Івано-Франківська,0.77,0.77,0.7,0.83
2020-04-21,Івано-Франківська,0.79,0.79,0.72,0.85
2020-04-22,Івано-Франківська,0.8,0.8,0.73,0.86
2020-04-23,Івано-Франківська,0.81,0.81,0.75,0.88
2020-04-24,Івано-Франківська,0.82,0.82,0.74,0.88
2020-04-25,Івано-Франківська,0.84,0.83,0.77,0.92
2020-04-26,Івано-Франківська,0.85,0.85,0.79,0.93
2020-04-27,Івано-Франківська,0.87,0.87,0.8,0.95
2020-04-28,Івано-Франківська,0.89,0.88,0.8,0.96
2020-04-29,Івано-Франківська,0.91,0.9,0.82,0.98
2020-04-30,Івано-Франківська,0.93,0.92,0.85,1.01
2020-05-01,Івано-Франківська,0.95,0.95,0.87,1.03
2020-05-02,Івано-Франківська,0.97,0.97,0.88,1.05
2020-05-03,Івано-Франківська,1,0.99,0.92,1.08
2020-05-04,Івано-Франківська,1.02,1.02,0.93,1.1
2020-05-05,Івано-Франківська,1.05,1.05,0.96,1.13
2020-05-06,Івано-Франківська,1.08,1.08,0.98,1.16
2020-05-07,Івано-Франківська,1.11,1.11,1.03,1.2
2020-05-08,Івано-Франківська,1.14,1.14,1.05,1.22
2020-05-09,Івано-Франківська,1.18,1.17,1.08,1.27
2020-05-10,Івано-Франківська,1.21,1.2,1.11,1.3
2020-05-11,Івано-Франківська,1.24,1.23,1.13,1.33
2020-05-12,Івано-Франківська,1.27,1.27,1.17,1.36
2020-05-13,Івано-Франківська,1.3,1.3,1.19,1.39
2020-05-14,Івано-Франківська,1.32,1.32,1.21,1.43
2020-05-15,Івано-Франківська,1.35,1.34,1.23,1.44
2020-05-16,Івано-Франківська,1.37,1.37,1.23,1.46
2020-05-17,Івано-Франківська,1.39,1.39,1.27,1.51
2020-05-18,Івано-Франківська,1.41,1.41,1.29,1.53
2020-05-19,Івано-Франківська,1.42,1.42,1.26,1.57
2020-05-20,Івано-Франківська,1.41,1.41,1.24,1.57
2020-05-21,Івано-Франківська,1.4,1.39,1.22,1.54
2020-05-22,Івано-Франківська,1.39,1.38,1.21,1.51
2020-05-23,Івано-Франківська,1.37,1.36,1.22,1.49
2020-05-24,Івано-Франківська,1.36,1.35,1.22,1.47
2020-05-25,Івано-Франківська,1.34,1.34,1.22,1.47
2020-05-26,Івано-Франківська,1.33,1.33,1.19,1.42
2020-05-27,Івано-Франківська,1.31,1.31,1.17,1.45
2020-05-28,Івано-Франківська,1.29,1.29,1.14,1.4
2020-05-29,Івано-Франківська,1.28,1.28,1.14,1.38
2020-05-30,Івано-Франківська,1.26,1.26,1.15,1.38
2020-05-31,Івано-Франківська,1.25,1.24,1.14,1.36
2020-06-01,Івано-Франківська,1.23,1.23,1.13,1.34
2020-06-02,Івано-Франківська,1.21,1.21,1.11,1.32
2020-06-03,Івано-Франківська,1.2,1.19,1.11,1.3
2020-06-04,Івано-Франківська,1.18,1.17,1.08,1.27
2020-06-05,Івано-Франківська,1.16,1.16,1.06,1.24
2020-06-06,Івано-Франківська,1.14,1.14,1.07,1.24
2020-06-07,Івано-Франківська,1.12,1.12,1.04,1.22
2020-06-08,Івано-Франківська,1.1,1.1,1.02,1.18
2020-06-09,Івано-Франківська,1.09,1.08,1,1.17
2020-06-10,Івано-Франківська,1.07,1.06,0.98,1.14
2020-06-11,Івано-Франківська,1.05,1.05,0.96,1.12
2020-06-12,Івано-Франківська,1.03,1.03,0.95,1.12
2020-06-13,Івано-Франківська,1.02,1.02,0.94,1.1
2020-06-14,Івано-Франківська,1,1,0.92,1.08
2020-06-15,Івано-Франківська,0.99,0.98,0.91,1.06
2020-06-16,Івано-Франківська,0.97,0.96,0.9,1.05
2020-06-17,Івано-Франківська,0.96,0.96,0.87,1.02
2020-06-18,Івано-Франківська,0.95,0.95,0.87,1.02
2020-06-19,Івано-Франківська,0.94,0.94,0.88,1.02
2020-06-20,Івано-Франківська,0.94,0.94,0.87,1.02
2020-06-21,Івано-Франківська,0.94,0.94,0.86,1.02
2020-06-22,Івано-Франківська,0.94,0.93,0.86,1.01
2020-06-23,Івано-Франківська,0.94,0.94,0.85,1
2020-06-24,Івано-Франківська,0.94,0.94,0.87,1.01
2020-06-25,Івано-Франківська,0.94,0.94,0.87,1.01
2020-06-26,Івано-Франківська,0.95,0.95,0.88,1.02
2020-06-27,Івано-Франківська,0.96,0.95,0.89,1.03
2020-06-28,Івано-Франківська,0.97,0.96,0.89,1.03
2020-06-29,Івано-Франківська,0.98,0.97,0.89,1.04
2020-06-30,Івано-Франківська,0.99,0.98,0.91,1.06
2020-07-01,Івано-Франківська,1,1,0.92,1.07
2020-07-02,Івано-Франківська,1.01,1.01,0.93,1.08
2020-03-14,Волинська,1.63,1.62,1.41,1.88
2020-03-15,Волинська,1.62,1.61,1.36,1.8
2020-03-16,Волинська,1.61,1.6,1.4,1.84
2020-03-17,Волинська,1.6,1.6,1.37,1.8
2020-03-18,Волинська,1.59,1.59,1.36,1.77
2020-03-19,Волинська,1.58,1.57,1.38,1.75
2020-03-20,Волинська,1.57,1.56,1.38,1.74
2020-03-21,Волинська,1.55,1.54,1.38,1.72
2020-03-22,Волинська,1.54,1.53,1.38,1.71
2020-03-23,Волинська,1.52,1.52,1.36,1.68
2020-03-24,Волинська,1.5,1.5,1.33,1.63
2020-03-25,Волинська,1.48,1.48,1.35,1.63
2020-03-26,Волинська,1.46,1.45,1.3,1.57
2020-03-27,Волинська,1.43,1.43,1.3,1.57
2020-03-28,Волинська,1.41,1.4,1.28,1.53
2020-03-29,Волинська,1.38,1.38,1.25,1.49
2020-03-30,Волинська,1.35,1.35,1.23,1.46
2020-03-31,Волинська,1.32,1.32,1.22,1.46
2020-04-01,Волинська,1.3,1.29,1.17,1.39
2020-04-02,Волинська,1.27,1.27,1.15,1.36
2020-04-03,Волинська,1.24,1.24,1.15,1.34
2020-04-04,Волинська,1.21,1.21,1.12,1.31
2020-04-05,Волинська,1.19,1.19,1.09,1.28
2020-04-06,Волинська,1.17,1.16,1.06,1.25
2020-04-07,Волинська,1.14,1.14,1.04,1.23
2020-04-08,Волинська,1.13,1.12,1.01,1.19
2020-04-09,Волинська,1.11,1.1,1.02,1.19
2020-04-10,Волинська,1.09,1.09,1.01,1.18
2020-04-11,Волинська,1.07,1.07,1,1.17
2020-04-12,Волинська,1.06,1.06,0.98,1.14
2020-04-13,Волинська,1.05,1.04,0.97,1.13
2020-04-14,Волинська,1.03,1.03,0.94,1.11
2020-04-15,Волинська,1.02,1.02,0.95,1.11
2020-04-16,Волинська,1.01,1.01,0.93,1.09
2020-04-17,Волинська,1,1,0.93,1.09
2020-04-18,Волинська,1,0.99,0.93,1.08
2020-04-19,Волинська,0.99,0.99,0.91,1.07
2020-04-20,Волинська,0.98,0.98,0.9,1.06
2020-04-21,Волинська,0.98,0.98,0.89,1.05
2020-04-22,Волинська,0.97,0.97,0.89,1.05
2020-04-23,Волинська,0.97,0.97,0.88,1.05
2020-04-24,Волинська,0.96,0.96,0.88,1.04
2020-04-25,Волинська,0.96,0.96,0.88,1.04
2020-04-26,Волинська,0.96,0.96,0.89,1.05
