date,state,positive_raw,positive,total
2020-03-02,Україна,1,1,15
2020-03-04,Україна,1,1,9
2020-03-05,Україна,0,0,3
2020-03-06,Україна,1,1,33
2020-03-07,Україна,1,1,15
2020-03-10,Україна,0,0,12
2020-03-11,Україна,0,0,12
2020-03-12,Україна,2,2,12
2020-03-13,Україна,1,1,18
2020-03-14,Україна,3,3,24
2020-03-15,Україна,3,3,60
2020-03-16,Україна,0,0,12
2020-03-17,Україна,7,7,123
2020-03-18,Україна,2,2,60
2020-03-19,Україна,11,11,276
2020-03-20,Україна,26,26,243
2020-03-21,Україна,13,13,195
2020-03-22,Україна,9,9,189
2020-03-23,Україна,22,22,315
2020-03-24,Україна,34,34,333
2020-03-25,Україна,53,53,699
2020-03-26,Україна,73,73,522
2020-03-27,Україна,74,74,786
2020-03-28,Україна,108,108,714
2020-03-29,Україна,78,78,618
2020-03-30,Україна,80,80,906
2020-03-31,Україна,133,133,1377
2020-04-01,Україна,158,158,1215
2020-04-02,Україна,122,122,1224
2020-04-03,Україна,148,148,1479
2020-04-04,Україна,162,162,1380
2020-04-05,Україна,100,100,819
2020-04-06,Україна,183,183,1386
2020-04-07,Україна,156,156,1383
2020-04-08,Україна,287,287,2175
2020-04-09,Україна,256,256,2433
2020-04-10,Україна,405,405,2652
2020-04-11,Україна,344,344,2394
2020-04-12,Україна,200,200,1137
2020-04-13,Україна,282,282,2289
2020-04-14,Україна,405,405,3261
2020-04-15,Україна,463,463,3219
2020-04-16,Україна,539,539,3585
2020-04-17,Україна,393,393,3396
2020-04-18,Україна,375,375,3321
2020-04-19,Україна,281,281,2004
2020-04-20,Україна,418,418,2826
2020-04-21,Україна,433,433,3759
2020-04-22,Україна,600,600,4455
2020-04-23,Україна,388,388,3657
2020-04-24,Україна,551,551,4983
2020-04-25,Україна,486,486,4035
2020-04-26,Україна,329,329,2436
2020-04-27,Україна,427,427,4287
2020-04-28,Україна,471,471,4602
2020-04-29,Україна,520,520,4419
2020-04-30,Україна,487,487,7585
2020-05-01,Україна,469,469,6015
2020-05-02,Україна,483,483,5285
2020-05-03,Україна,403,403,5195
2020-05-04,Україна,411,411,7760
2020-05-05,Україна,532,532,8175
2020-05-06,Україна,508,508,7670
2020-05-07,Україна,545,545,8255
2020-05-08,Україна,513,513,8190
2020-05-09,Україна,539,539,6860
2020-05-10,Україна,377,377,4655
2020-05-11,Україна,352,352,4920
2020-05-12,Україна,458,458,6755
2020-05-13,Україна,408,408,7690
2020-05-14,Україна,496,496,7060
2020-05-15,Україна,508,508,8165
2020-05-16,Україна,443,443,10008
2020-05-17,Україна,237,237,5952
2020-05-18,Україна,293,293,9304
2020-05-19,Україна,365,365,10560
2020-05-20,Україна,464,464,10272
2020-05-21,Україна,412,412,10168
2020-05-22,Україна,462,462,10280
2020-05-23,Україна,320,320,7224
2020-05-24,Україна,280,280,5632
2020-05-25,Україна,364,364,9392
2020-05-26,Україна,382,382,9432
2020-05-27,Україна,445,445,9728
2020-05-28,Україна,548,548,10200
2020-05-29,Україна,476,476,7808
2020-05-30,Україна,422,422,3976
2020-05-31,Україна,267,267,3976
2020-06-01,Україна,417,417,12881
2020-06-02,Україна,536,536,16085
2020-06-03,Україна,544,544,14301
2020-06-04,Україна,573,573,16647
2020-06-05,Україна,508,508,17739
2020-06-06,Україна,520,520,12324
2020-06-07,Україна,390,390,7647
2020-06-08,Україна,399,399,8080
2020-06-09,Україна,602,602,14210
2020-06-10,Україна,783,783,18692
2020-06-11,Україна,684,684,20173
2020-06-12,Україна,653,653,18196
2020-06-13,Україна,683,683,13262
2020-06-14,Україна,581,581,10236
2020-06-15,Україна,640,640,16362
2020-06-16,Україна,785,785,18412
2020-06-17,Україна,856,856,21204
2020-06-18,Україна,821,821,19365
2020-06-19,Україна,924,924,19136
2020-06-20,Україна,629,629,12461
2020-06-21,Україна,579,579,7709
2020-06-22,Україна,954,954,19404
2020-06-23,Україна,996,996,23791
2020-06-24,Україна,912,912,23905
2020-06-25,Україна,1058,1058,26930
2020-06-26,Україна,1168,1168,24569
2020-06-27,Україна,749,749,14169
2020-06-28,Україна,749,749,9850
2020-06-29,Україна,505,505,10992
2020-06-30,Україна,824,824,22051
2020-07-01,Україна,902,902,22867
2020-07-02,Україна,951,951,26031
2020-07-03,Україна,848,848,29441
2020-07-04,Україна,598,598,13957
2020-07-05,Україна,506,506,10468
2020-07-06,Україна,691,691,20995
2020-07-07,Україна,847,847,27584
2020-07-08,Україна,839,839,29261
2020-07-09,Україна,839,839,27281
2020-07-10,Україна,904,904,26973
2020-07-11,Україна,639,639,14606
2020-07-12,Україна,429,429,10368
2020-07-13,Україна,669,669,23000
2020-07-14,Україна,808,808,29008
2020-07-15,Україна,785,785,27386
2020-07-16,Україна,824,824,27723
2020-07-18,Україна,695,695,17530
2020-07-19,Україна,515,515,8923
2020-07-20,Україна,737,737,24498
2020-07-21,Україна,867,867,31917
2020-07-22,Україна,951,951,29503
2020-07-24,Україна,1176,1176,31765
2020-07-25,Україна,763,763,17530
2020-07-26,Україна,635,635,10614
2020-07-28,Україна,1172,1172,31034
2020-07-29,Україна,1163,1163,31494
2020-07-30,Україна,1317,1317,33099
2020-07-31,Україна,1370,1370,33905
2020-08-01,Україна,975,975,16440
2020-08-02,Україна,632,632,11501
2020-08-03,Україна,1197,1197,29332
2020-08-05,Україна,1494,1494,37232
2020-08-06,Україна,1380,1380,35440
2020-08-07,Україна,1507,1507,39502
2020-08-08,Україна,1126,1126,21743
2020-08-09,Україна,793,793,13094
2020-08-10,Україна,1347,1347,32245
2020-08-11,Україна,1772,1772,38214
2020-08-12,Україна,1939,1939,36422
2020-08-16,Україна,1010,1010,13817
2020-08-17,Україна,2023,2023,28235
2020-08-18,Україна,2404,2404,37716
2020-08-20,Україна,2430,2430,39594
2020-08-21,Україна,2397,2397,43129
2020-08-22,Україна,1935,1935,22618
2020-08-23,Україна,1307,1307,13387
2020-08-24,Україна,1577,1577,13251
2020-08-25,Україна,1849,1849,33077
2020-08-26,Україна,2260,2260,41219
2020-08-27,Україна,2507,2507,41679
2020-08-28,Україна,2748,2748,42729
2020-08-29,Україна,1858,1858,27256
2020-08-30,Україна,1474,1474,18025
2020-08-31,Україна,2743,2743,41972
2020-09-01,Україна,2515,2515,46529
2020-09-02,Україна,2706,2706,45904
2020-09-03,Україна,2908,2908,49470
2020-09-04,Україна,2936,2936,46516
2020-09-05,Україна,2329,2329,26942
2020-09-06,Україна,1963,1963,18698
2020-09-07,Україна,2555,2555,41806
2020-09-08,Україна,2936,2936,43785
2020-09-09,Україна,3441,3441,55228
2020-09-10,Україна,3566,3566,50509
2020-09-11,Україна,3583,3583,46720
2020-09-12,Україна,2721,2721,28234
2020-09-13,Україна,2159,2159,15644
2020-09-14,Україна,3584,3584,47184
2020-09-15,Україна,3639,3639,51215
2020-09-16,Україна,3905,3905,53343
2020-09-17,Україна,3899,3899,56579
2020-09-18,Україна,3752,3752,51915
2020-09-19,Україна,3175,3175,31342
2020-09-20,Україна,2404,2404,21920
2020-09-21,Україна,3491,3491,42152
2020-09-22,Україна,4034,4034,44801
2020-09-23,Україна,4159,4159,51450
2020-09-24,Україна,4160,4160,47466
2020-09-25,Україна,4371,4371,54735
2020-09-26,Україна,3106,3106,28510
2020-09-27,Україна,2179,2179,20067
2020-09-28,Україна,3865,3865,45910
2020-09-29,Україна,5190,5190,50900
2020-09-30,Україна,5514,5514,52703
2020-10-01,Україна,5570,5570,50276
2020-10-02,Україна,5424,5424,46642
2020-10-03,Україна,4685,4685,25387
2020-10-04,Україна,2645,2645,16922
2020-10-05,Україна,5582,5582,44770
2020-10-06,Україна,6328,6328,58777
2020-10-07,Україна,6560,6560,56649
2020-10-08,Україна,6682,6682,55930
2020-10-09,Україна,7103,7103,57382
2020-10-10,Україна,5247,5247,33257
2020-10-11,Україна,3493,3493,21621
2020-10-12,Україна,6124,6124,50608
2020-10-13,Україна,6821,6821,62452
2020-10-14,Україна,5561,5561,38086
2020-10-15,Україна,6913,6913,56451
2020-10-16,Україна,6982,6982,63388
2020-10-17,Україна,6002,6002,34549
2020-10-18,Україна,3359,3359,25244
2020-10-19,Україна,6353,6353,52755
2020-10-20,Україна,7371,7371,61920
2020-10-21,Україна,7256,7256,61718
2020-10-22,Україна,7430,7629,66771
2020-10-24,Україна,7026,7424,42110
2020-10-25,Україна,3908,4191,33061
2020-10-26,Україна,6019,6636,56015
2020-10-27,Україна,6616,7499,69940
2020-10-28,Україна,7161,8349,78059
